,molregno,chembl_id,max_phase,canonical_smiles,standard_inchi_key,mw_freebase,molecular_weight,alogp,hba,hbd,psa,rtb,num_ro5_violations,aromatic_rings,heavy_atoms,qed_weighted,np_likeness_score,natural_product,prodrug,ro3_pass,oral,parenteral,topical
12244,2335036,CHEMBL4297065,4.0,CC[C@H]1CCC[C@H](O[C@H]2CC[C@H](N(C)C)[C@@H](C)O2)[C@@H](C)C(=O)C2=C[C@@H]3[C@@H](C=C(C)[C@@H]4C[C@@H](O[C@@H]5O[C@@H](C)[C@H](OC)[C@@H](OC)[C@H]5OC)C[C@@H]34)[C@@H]2CC(=O)O1.CC[C@H]1CCC[C@H](O[C@H]2CC[C@H](N(C)C)[C@@H](C)O2)[C@@H](C)C(=O)C2=C[C@H]3[C@@H]4C[C@H](O[C@@H]5O[C@@H](C)[C@H](OC)[C@@H](OC)[C@H]5OC)C[C@H]4C=C[C@H]3C2CC(=O)O1,JFLRKDZMHNBDQS-UCQUSYKYSA-N,1477.96,1477.96,,,,,,,,,,,1,0,,0,0,1
12289,2335174,CHEMBL4297203,3.0,O=C(CN[C@@H]1CCNC1)N1CCC[C@H]1B(O)O.O=C(O)C(O)C(O)C(=O)O,SVWHNLVZPGXBNS-RJUBDTSPSA-N,241.1,391.19,,,,,,,,,,,0,0,,0,0,0
12291,2335180,CHEMBL4297209,2.0,COCCOCCOCCOc1cccc(C2=N[C@@](C)(C(=O)[O-])CS2)c1O.O[Mg+],MVAWDZLMOYASSX-JPKZNVRTSA-L,439.77,439.77,,,,,,,,,,,0,0,,0,0,0
12312,2335230,CHEMBL4297259,2.0,CC1(C)CN[Se]c2ccccc21,FXRYWOJYVGJZLE-UHFFFAOYSA-N,226.18,226.18,,,,,,,,,,,1,0,,0,0,0
12400,2335344,CHEMBL4297373,2.0,C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2cccc3ccccc23)NC(=O)[C@@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)CN2CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC2)CSSC[C@@H](C(=O)N[C@H](CO)[C@@H](C)O)NC1=O,PZCJTYVWTGPGOH-OKVMNLLFSA-N,1455.73,1455.73,,,,,,,,,,,0,0,,0,0,0
12408,2335352,CHEMBL4297381,2.0,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C.NC(=S)c1cccc(S(=O)(=O)O)c1,ACKBGPXURGPUEW-UHFFFAOYSA-N,604.75,604.75,,,,,,,,,,,0,0,,0,0,0
12418,2335362,CHEMBL4297391,2.0,CCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)[C@H](C)NC(=O)CC[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H](C)O[C@@H]([C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(C)=O)[C@H](O)CO)[C@H](C=O)NC(C)=O)C(N)=O)OC(=O)CCCCCCCCCCCCCCC,DNUXJWBKTMJNEP-JVSLBXKQSA-N,1317.66,1317.66,,,,,,,,,,,0,0,,0,0,0
12438,2335383,CHEMBL4297412,4.0,CC1(C)C(/C=C/C2=C(Oc3ccc(C[C@H](NC(=O)c4ccc(NCc5cnc6nc(N)[nH]c(=O)c6n5)cc4)C(=O)[O-])cc3)/C(=C/C=C3\N(CCCCS(=O)(=O)[O-])c4ccc(S(=O)(=O)[O-])cc4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccc(S(=O)(=O)[O-])cc21.[H+].[H+].[H+].[H+],PDXNSXLPXJFETD-DYVQZXGMSA-N,1326.52,1326.52,,,,,,,,,,,0,0,,0,1,0
12462,2335412,CHEMBL4297441,3.0,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@@H](C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3ccccc3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](OC(C)=O)C(=C1C)C2(C)C)[C@@H](NC(=O)c1ccccc1)c1ccccc1,LRCZQSDQZJBHAF-PUBGEWHCSA-N,1164.4,1164.4,,,,,,,,,,,1,1,,0,0,0
12495,2335451,CHEMBL4297480,2.0,O=C(Nc1ccc(F)cc1)c1cnc(SCc2cc(OC(F)(F)F)ccc2B(O)O)nc1,SDUDZBCEHIZMFZ-UHFFFAOYSA-N,467.21,467.21,,,,,,,,,,,0,0,,0,0,0
12502,2335458,CHEMBL4297487,2.0,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)CCCCCCNC(C)=O)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)N(C)C1=O,KBARHGHBFILILC-NGIJKBHDSA-N,1303.78,1303.78,,,,,,,,,,,0,0,,0,0,0
12511,2335467,CHEMBL4297496,2.0,CCCCCCCCCCCCCCCCCC(=O)OCC(CSSc1ccc(COC(=O)N2[C@H]3[C@@H]2CN2C4=C(C(=O)C(N)=C(C)C4=O)[C@@H](COC(N)=O)[C@@]32OC)cc1)OC(=O)CCCCCCCCCCCCCCCCC,LIHIIWJRSSLKKX-YCTALCSSSA-N,1139.62,1139.62,,,,,,,,,,,0,0,,0,0,0
12530,2335486,CHEMBL4297515,2.0,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(CCOC(=O)OCCN5CCN(S(=O)(=O)c6ccc(OCC)c(-c7nc8c(CCC)nn(C)c8c(=O)[nH]7)c6)CC5)CC4)ccc3OCC)nc12,MVYUCRDXZXLFSB-UHFFFAOYSA-N,1035.22,1035.22,,,,,,,,,,,1,1,,0,0,0
12610,2335626,CHEMBL4297655,2.0,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCC/C=C\CCCCCCCC,XDSPGKDYYRNYJI-IUPFWZBJSA-N,1053.78,1053.78,,,,,,,,,,,1,0,,0,0,0
12613,2335629,CHEMBL4297658,3.0,O=C(O)[C@@H]1CCCN1.OC[C@H]1O[C@@H](c2ccc(F)c(Cc3cc4ccccc4s3)c2)[C@H](O)[C@@H](O)[C@@H]1O,TUVGWWULBZIUBS-FVYIYGEMSA-N,519.59,519.59,,,,,,,,,,,0,0,,0,0,0
12618,2335634,CHEMBL4297663,3.0,Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O.Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1,IPUHJDQWESJTGD-PFWPSKEQSA-N,616.31,616.31,,,,,,,,,,,1,0,,0,0,0
12642,2336114,CHEMBL4298143,1.0,Cc1cccc2c(OC(=O)N(CCOCCO)CCN(C)C(=O)OCc3ccc(NC(=O)[C@H](CCCNC(N)=O)NC(=O)[C@@H](NC(=O)OCCOCCN4C(=O)C=CC4=O)C(C)C)cc3)cc3c(c12)[C@H](CCl)CN3C(=O)c1cn2cc(NC(=O)c3ccc(O)cc3)ccc2n1,RFQYSAASDBNNDZ-UCGHAGIGSA-N,1331.83,1331.83,,,,,,,,,,,0,0,,0,0,0
12660,2336133,CHEMBL4298162,2.0,CC1(C)C(/C=C/C2=C(Oc3ccc(S(=O)(=O)O)cc3)/C(=C/C=C3/N(CCCCS(=O)(=O)O)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccc(S(=O)(=O)O)cc21,FRMYEKPWHJAHIO-UHFFFAOYSA-N,1025.23,1025.23,,,,,,,,,,,0,0,,0,0,0
12661,2336134,CHEMBL4298163,1.0,CC1(C)C(/C=C/C2=C(Oc3ccc(S(=O)(=O)[O-])cc3)/C(=C/C=C3/N(CCCCS(=O)(=O)[O-])c4ccc(S(=O)(=O)[O-])cc4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccc(S(=O)(=O)[O-])cc21.[Na+].[Na+].[Na+].[Na+],SFJHDNDCNUTGQM-UHFFFAOYSA-J,1025.23,1113.16,,,,,,,,,,,0,0,,0,0,0
12676,2337911,CHEMBL4299960,2.0,O=O.[O-][Cl+]O.[O-][Cl+]O.[O-][Cl+]O.[O-][Cl+]O,IVFGWWGNVIZDAS-UHFFFAOYSA-N,305.83,305.83,,,,,,,,,,,0,0,,0,0,0
