molregno,chembl_id,max_phase,canonical_smiles,standard_inchi_key,mw_freebase,molecular_weight,alogp,hba,hbd,psa,rtb,num_ro5_violations,aromatic_rings,heavy_atoms,qed_weighted,np_likeness_score,natural_product,prodrug,ro3_pass,oral,parenteral,topical
1378778,CHEMBL2106508,2,O=C(CCn1nnc(-c2cccc(Br)c2)n1)N1CCCCC1,PLZMRGRLCWCLFW-UHFFFAOYSA-N,364.25,364.25,2.51,5,0,63.91,4,0,2,22,0.84,-2.31,0,0,N,0,0,0
1378780,CHEMBL2106510,-1,CCCCC(=O)O.N,RXQNHIDQIJXKTK-UHFFFAOYSA-N,119.16,119.16,,,,,,,,,,,0,0,,0,0,0
1378781,CHEMBL2106511,2,O=C(c1cccnc1)N1CCOCC1,QLPQPTXSAXQCMR-UHFFFAOYSA-N,192.22,192.22,0.55,3,0,42.43,1,0,1,14,0.65,-2.03,0,0,Y,0,0,0
1378782,CHEMBL2106512,2,O=[N+]([O-])c1ccc(/C=[N+](/[O-])CCO)o1,QSWZUVFMUIEHAG-VMPITWQZSA-N,200.15,200.15,0.11,5,1,102.58,4,0,1,14,0.24,-0.58,0,0,N,0,0,0
1378783,CHEMBL2106513,-1,CC(C)NCC(O)c1ccc(O)cc1.Cl,KTOGVIILDSYTNS-UHFFFAOYSA-N,195.26,231.72,1.42,3,3,52.49,4,0,1,14,0.68,0.21,0,0,N,0,0,0
1378784,CHEMBL2106514,2,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2OC(O)C(Cl)(Cl)Cl,DNADMXUXHNLBKR-SIGPKOBDSA-N,435.82,435.82,5.59,3,1,46.53,2,1,0,27,0.45,1.89,1,0,N,0,0,0
1378785,CHEMBL2106515,2,CCN(CC)CCNC(=O)COc1ccc(Cl)cc1,UORGKWWJEQDTGX-UHFFFAOYSA-N,284.79,284.79,2.18,3,1,41.57,8,0,1,19,0.8,-1.94,0,0,N,0,0,0
1378786,CHEMBL2106516,-1,CC(=O)CCC(=O)[O-].CC(=O)CCC(=O)[O-].O.[Ca+2],VPHDLUWYYKTYFR-UHFFFAOYSA-L,116.12,288.31,0.44,2,1,54.37,3,0,0,8,0.58,0.79,0,0,Y,0,0,0
1378787,CHEMBL2106517,2,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@H](O)[C@H]3C[C@@H]12,JCSGAUKCDAVARS-SOUFLCLCSA-N,430.41,430.41,-0.39,9,6,181.62,2,1,1,31,0.34,1.74,1,0,N,0,0,0
1378788,CHEMBL2106518,2,CCCOC(=O)c1cncn1C(C)c1ccccc1,LKGPZAQFNYKISK-UHFFFAOYSA-N,258.32,258.32,3.06,4,0,44.12,5,0,2,19,0.77,-0.91,0,0,N,0,0,0
